period,year,month,quarter,continentId,continentName,value,quantity
2021-01,2021,1,1,1A,ทวีปเอเชีย,3578358923.0,123470674.0
2021-01,2021,1,1,1E,ทวีปแอฟริกา,59836300.0,2216072.0
2021-01,2021,1,1,1C,ทวีปอเมริกาเหนือ,38542247.0,1043563.0
2021-01,2021,1,1,1B,ทวีปยุโรป,27401364.0,1190870.0
2021-01,2021,1,1,1F,ทวีปออสเตรเลีย,9594298.0,269328.0
2021-01,2021,1,1,1D,ทวีปอเมริกาใต้,1217927.0,28887.0
2021-02,2021,2,1,1A,ทวีปเอเชีย,3406343404.0,115204586.0
2021-02,2021,2,1,1E,ทวีปแอฟริกา,89394232.0,3419431.0
2021-02,2021,2,1,1C,ทวีปอเมริกาเหนือ,40875911.0,1115197.0
2021-02,2021,2,1,1B,ทวีปยุโรป,35916660.0,1266883.0
2021-02,2021,2,1,1F,ทวีปออสเตรเลีย,7029686.0,175512.0
2021-02,2021,2,1,1D,ทวีปอเมริกาใต้,1345294.0,21641.0
2021-02,2021,2,1,1G,ประเทศอื่น,27072.0,720.0
2021-03,2021,3,1,1A,ทวีปเอเชีย,4535410122.0,170026887.0
2021-03,2021,3,1,1E,ทวีปแอฟริกา,130465330.0,4908382.0
2021-03,2021,3,1,1C,ทวีปอเมริกาเหนือ,66252532.0,1802921.0
2021-03,2021,3,1,1B,ทวีปยุโรป,29913048.0,1192081.0
2021-03,2021,3,1,1F,ทวีปออสเตรเลีย,8647496.0,223956.0
2021-03,2021,3,1,1D,ทวีปอเมริกาใต้,5371867.0,202562.0
2021-03,2021,3,1,1G,ประเทศอื่น,0.0,0.0
2021-04,2021,4,2,1A,ทวีปเอเชีย,4427927281.0,172677719.0
2021-04,2021,4,2,1E,ทวีปแอฟริกา,51669248.0,1907545.0
2021-04,2021,4,2,1C,ทวีปอเมริกาเหนือ,41527410.0,1265644.0
2021-04,2021,4,2,1B,ทวีปยุโรป,32226701.0,1081173.0
2021-04,2021,4,2,1F,ทวีปออสเตรเลีย,5691376.0,174182.0
2021-04,2021,4,2,1D,ทวีปอเมริกาใต้,787913.0,23799.0
2021-04,2021,4,2,1G,ประเทศอื่น,0.0,0.0
2021-05,2021,5,2,1A,ทวีปเอเชีย,4353055379.0,181829099.0
2021-05,2021,5,2,1E,ทวีปแอฟริกา,99055145.0,3658462.0
2021-05,2021,5,2,1C,ทวีปอเมริกาเหนือ,38982475.0,1047686.0
2021-05,2021,5,2,1B,ทวีปยุโรป,36856593.0,1126012.0
2021-05,2021,5,2,1F,ทวีปออสเตรเลีย,7420491.0,199015.0
2021-05,2021,5,2,1D,ทวีปอเมริกาใต้,930719.0,30448.0
2021-05,2021,5,2,1G,ประเทศอื่น,0.0,0.0
2021-06,2021,6,2,1A,ทวีปเอเชีย,4524534786.0,154677231.0
2021-06,2021,6,2,1E,ทวีปแอฟริกา,109162187.0,3962600.0
2021-06,2021,6,2,1C,ทวีปอเมริกาเหนือ,85342488.0,2468054.0
2021-06,2021,6,2,1B,ทวีปยุโรป,73902975.0,2439997.0
2021-06,2021,6,2,1F,ทวีปออสเตรเลีย,9945456.0,276047.0
2021-06,2021,6,2,1D,ทวีปอเมริกาใต้,1817375.0,57119.0
2021-06,2021,6,2,1G,ประเทศอื่น,42047.0,1080.0
2021-07,2021,7,3,1A,ทวีปเอเชีย,3749934747.0,150115254.0
2021-07,2021,7,3,1C,ทวีปอเมริกาเหนือ,58217377.0,1599729.0
2021-07,2021,7,3,1E,ทวีปแอฟริกา,53729640.0,2027098.0
2021-07,2021,7,3,1B,ทวีปยุโรป,47281455.0,1631230.0
2021-07,2021,7,3,1F,ทวีปออสเตรเลีย,6694909.0,174447.0
2021-07,2021,7,3,1D,ทวีปอเมริกาใต้,2574363.0,70335.0
2021-07,2021,7,3,1G,ประเทศอื่น,0.0,0.0
2021-08,2021,8,3,1A,ทวีปเอเชีย,3190845511.0,114659997.0
2021-08,2021,8,3,1E,ทวีปแอฟริกา,142517115.0,5067642.0
2021-08,2021,8,3,1C,ทวีปอเมริกาเหนือ,70631971.0,1670448.0
2021-08,2021,8,3,1B,ทวีปยุโรป,65947435.0,2175138.0
2021-08,2021,8,3,1F,ทวีปออสเตรเลีย,6546938.0,216374.0
2021-08,2021,8,3,1D,ทวีปอเมริกาใต้,614621.0,22656.0
2021-08,2021,8,3,1G,ประเทศอื่น,0.0,0.0
2021-09,2021,9,3,1A,ทวีปเอเชีย,3106359180.0,225022603.0
2021-09,2021,9,3,1E,ทวีปแอฟริกา,97919851.0,3379803.0
2021-09,2021,9,3,1C,ทวีปอเมริกาเหนือ,64212989.0,1622837.0
2021-09,2021,9,3,1B,ทวีปยุโรป,61202959.0,2265406.0
2021-09,2021,9,3,1F,ทวีปออสเตรเลีย,8825386.0,961934.0
2021-09,2021,9,3,1D,ทวีปอเมริกาใต้,2830070.0,92821.0
2021-09,2021,9,3,1G,ประเทศอื่น,820171.0,18288.0
2021-10,2021,10,4,1A,ทวีปเอเชีย,3328702264.0,125694780.0
2021-10,2021,10,4,1E,ทวีปแอฟริกา,74715305.0,2523281.0
2021-10,2021,10,4,1C,ทวีปอเมริกาเหนือ,74591554.0,1982379.0
2021-10,2021,10,4,1B,ทวีปยุโรป,57184450.0,2117391.0
2021-10,2021,10,4,1F,ทวีปออสเตรเลีย,12943157.0,369531.0
2021-10,2021,10,4,1D,ทวีปอเมริกาใต้,934665.0,26304.0
2021-10,2021,10,4,1G,ประเทศอื่น,0.0,0.0
2021-11,2021,11,4,1A,ทวีปเอเชีย,3525981169.0,162845503.0
2021-11,2021,11,4,1C,ทวีปอเมริกาเหนือ,59355201.0,1675234.0
2021-11,2021,11,4,1E,ทวีปแอฟริกา,92231884.0,3106823.0
2021-11,2021,11,4,1B,ทวีปยุโรป,42601278.0,1402814.0
2021-11,2021,11,4,1F,ทวีปออสเตรเลีย,8860374.0,276611.0
2021-11,2021,11,4,1D,ทวีปอเมริกาใต้,1363729.0,41267.0
2021-11,2021,11,4,1G,ประเทศอื่น,46463.0,1080.0
2021-12,2021,12,4,1A,ทวีปเอเชีย,3844446567.0,131096087.0
2021-12,2021,12,4,1C,ทวีปอเมริกาเหนือ,55352491.0,1311292.0
2021-12,2021,12,4,1E,ทวีปแอฟริกา,28743895.0,952974.0
2021-12,2021,12,4,1B,ทวีปยุโรป,46332343.0,1690153.0
2021-12,2021,12,4,1F,ทวีปออสเตรเลีย,9475763.0,307233.0
2021-12,2021,12,4,1D,ทวีปอเมริกาใต้,1285479.0,45312.0
2021-12,2021,12,4,1G,ประเทศอื่น,0.0,0.0
2022-01,2022,1,1,1A,ทวีปเอเชีย,3644977131.0,130576491.0
2022-01,2022,1,1,1E,ทวีปแอฟริกา,112022201.0,3844715.0
2022-01,2022,1,1,1C,ทวีปอเมริกาเหนือ,36291773.0,1009671.0
2022-01,2022,1,1,1B,ทวีปยุโรป,35995503.0,1209338.0
2022-01,2022,1,1,1F,ทวีปออสเตรเลีย,8298446.0,242349.0
2022-02,2022,2,1,1A,ทวีปเอเชีย,1926614453.0,61316624.0
2022-02,2022,2,1,1E,ทวีปแอฟริกา,105985946.0,3662835.0
2022-02,2022,2,1,1C,ทวีปอเมริกาเหนือ,54250426.0,1619219.0
2022-02,2022,2,1,1B,ทวีปยุโรป,61651005.0,2103916.0
2022-02,2022,2,1,1F,ทวีปออสเตรเลีย,7938716.0,216312.0
2022-02,2022,2,1,1D,ทวีปอเมริกาใต้,3719023.0,117900.0
2022-03,2022,3,1,1A,ทวีปเอเชีย,1926421961.0,75046949.0
2022-03,2022,3,1,1E,ทวีปแอฟริกา,82936737.0,2855647.0
2022-03,2022,3,1,1C,ทวีปอเมริกาเหนือ,63411849.0,1844062.0
2022-03,2022,3,1,1B,ทวีปยุโรป,70070226.0,2665499.0
2022-03,2022,3,1,1F,ทวีปออสเตรเลีย,9441535.0,271743.0
2022-03,2022,3,1,1D,ทวีปอเมริกาใต้,1959345.0,68164.0
2022-04,2022,4,2,1A,ทวีปเอเชีย,1684781509.0,62203415.0
2022-04,2022,4,2,1E,ทวีปแอฟริกา,87441697.0,2868368.0
2022-04,2022,4,2,1C,ทวีปอเมริกาเหนือ,64562306.0,1656418.0
2022-04,2022,4,2,1B,ทวีปยุโรป,49866311.0,1992959.0
2022-04,2022,4,2,1F,ทวีปออสเตรเลีย,10411271.0,294913.0
2022-04,2022,4,2,1D,ทวีปอเมริกาใต้,741467.0,21979.0
2022-05,2022,5,2,1A,ทวีปเอเชีย,1934287912.0,60342319.0
2022-05,2022,5,2,1E,ทวีปแอฟริกา,109083439.0,3483371.0
2022-05,2022,5,2,1C,ทวีปอเมริกาเหนือ,68497949.0,14068487.0
2022-05,2022,5,2,1B,ทวีปยุโรป,73624513.0,2770099.0
2022-05,2022,5,2,1F,ทวีปออสเตรเลีย,10176043.0,290384.0
2022-05,2022,5,2,1D,ทวีปอเมริกาใต้,1458789.0,49826.0
2022-06,2022,6,2,1A,ทวีปเอเชีย,1706250114.0,92677094.0
2022-06,2022,6,2,1E,ทวีปแอฟริกา,80880276.0,2482428.0
2022-06,2022,6,2,1C,ทวีปอเมริกาเหนือ,63161682.0,18836852.0
2022-06,2022,6,2,1B,ทวีปยุโรป,87937580.0,3544902.0
2022-06,2022,6,2,1F,ทวีปออสเตรเลีย,12572475.0,385209.0
2022-06,2022,6,2,1D,ทวีปอเมริกาใต้,1290213.0,45312.0
2022-07,2022,7,3,1A,ทวีปเอเชีย,1762593948.0,66477241.0
2022-07,2022,7,3,1E,ทวีปแอฟริกา,86533051.0,2584721.0
2022-07,2022,7,3,1C,ทวีปอเมริกาเหนือ,45767198.0,1399883.0
2022-07,2022,7,3,1B,ทวีปยุโรป,121649722.0,4037391.0
2022-07,2022,7,3,1F,ทวีปออสเตรเลีย,13029218.0,342686.0
2022-07,2022,7,3,1D,ทวีปอเมริกาใต้,2231133.0,66695.0
2022-08,2022,8,3,1A,ทวีปเอเชีย,1674802158.0,48479058.0
2022-08,2022,8,3,1E,ทวีปแอฟริกา,44728421.0,1273435.0
2022-08,2022,8,3,1C,ทวีปอเมริกาเหนือ,49029915.0,1571222.0
2022-08,2022,8,3,1B,ทวีปยุโรป,104944173.0,3361499.0
2022-08,2022,8,3,1F,ทวีปออสเตรเลีย,15323446.0,389214.0
2022-08,2022,8,3,1D,ทวีปอเมริกาใต้,3875462.0,111992.0
2022-09,2022,9,3,1A,ทวีปเอเชีย,1834036927.0,52404840.0
2022-09,2022,9,3,1E,ทวีปแอฟริกา,48051355.0,1476910.0
2022-09,2022,9,3,1C,ทวีปอเมริกาเหนือ,39773374.0,15154833.0
2022-09,2022,9,3,1B,ทวีปยุโรป,90666561.0,3111378.0
2022-09,2022,9,3,1F,ทวีปออสเตรเลีย,13260689.0,342888.0
2022-09,2022,9,3,1D,ทวีปอเมริกาใต้,2944837.0,91463.0
2022-10,2022,10,4,1A,ทวีปเอเชีย,1666595637.0,48634773.0
2022-10,2022,10,4,1E,ทวีปแอฟริกา,35726325.0,1000933.0
2022-10,2022,10,4,1C,ทวีปอเมริกาเหนือ,44252647.0,18864598.0
2022-10,2022,10,4,1B,ทวีปยุโรป,121589813.0,4054679.0
2022-10,2022,10,4,1F,ทวีปออสเตรเลีย,18075465.0,486042.0
2022-10,2022,10,4,1D,ทวีปอเมริกาใต้,3827188.0,115080.0
2022-11,2022,11,4,1A,ทวีปเอเชีย,1698098903.0,59814846.0
2022-11,2022,11,4,1B,ทวีปยุโรป,116840633.0,3702454.0
2022-11,2022,11,4,1E,ทวีปแอฟริกา,44441572.0,1265879.0
2022-11,2022,11,4,1C,ทวีปอเมริกาเหนือ,43653899.0,1207113.0
2022-11,2022,11,4,1F,ทวีปออสเตรเลีย,20903919.0,569108.0
2022-11,2022,11,4,1D,ทวีปอเมริกาใต้,5816403.0,144646.0
2022-12,2022,12,4,1A,ทวีปเอเชีย,1523294957.0,44929907.0
2022-12,2022,12,4,1B,ทวีปยุโรป,135243780.0,4363619.0
2022-12,2022,12,4,1E,ทวีปแอฟริกา,64686297.0,2005484.0
2022-12,2022,12,4,1C,ทวีปอเมริกาเหนือ,33005211.0,6589801.0
2022-12,2022,12,4,1F,ทวีปออสเตรเลีย,17294557.0,610640.0
2022-12,2022,12,4,1D,ทวีปอเมริกาใต้,3529266.0,112862.0
2023-01,2023,1,1,1A,ทวีปเอเชีย,1818251874.0,53449356.0
2023-01,2023,1,1,1B,ทวีปยุโรป,176409156.0,5695949.0
2023-01,2023,1,1,1E,ทวีปแอฟริกา,52412660.0,1677040.0
2023-01,2023,1,1,1C,ทวีปอเมริกาเหนือ,27248061.0,10814144.0
2023-01,2023,1,1,1F,ทวีปออสเตรเลีย,13640000.0,375203.0
2023-01,2023,1,1,1D,ทวีปอเมริกาใต้,720171.0,22154.0
2023-02,2023,2,1,1A,ทวีปเอเชีย,1780874184.0,50925659.0
2023-02,2023,2,1,1B,ทวีปยุโรป,138812567.0,6472766.0
2023-02,2023,2,1,1C,ทวีปอเมริกาเหนือ,51855408.0,12207659.0
2023-02,2023,2,1,1E,ทวีปแอฟริกา,77103689.0,2571119.0
2023-02,2023,2,1,1F,ทวีปออสเตรเลีย,9838099.0,287824.0
2023-02,2023,2,1,1D,ทวีปอเมริกาใต้,2658997.0,89784.0
2023-03,2023,3,1,1A,ทวีปเอเชีย,2085842818.0,71690739.0
2023-03,2023,3,1,1B,ทวีปยุโรป,188217178.0,6159117.0
2023-03,2023,3,1,1C,ทวีปอเมริกาเหนือ,93303727.0,13224560.0
2023-03,2023,3,1,1E,ทวีปแอฟริกา,74679346.0,2336687.0
2023-03,2023,3,1,1F,ทวีปออสเตรเลีย,19876813.0,642437.0
2023-03,2023,3,1,1D,ทวีปอเมริกาใต้,2259569.0,66040.0
2023-04,2023,4,2,1A,ทวีปเอเชีย,1800137414.0,72036088.0
2023-04,2023,4,2,1B,ทวีปยุโรป,161493690.0,5269733.0
2023-04,2023,4,2,1C,ทวีปอเมริกาเหนือ,84187313.0,24000360.0
2023-04,2023,4,2,1E,ทวีปแอฟริกา,68265270.0,2075100.0
2023-04,2023,4,2,1F,ทวีปออสเตรเลีย,19631033.0,612568.0
2023-04,2023,4,2,1D,ทวีปอเมริกาใต้,5255085.0,165999.0
2023-05,2023,5,2,1A,ทวีปเอเชีย,2330850875.0,68342285.0
2023-05,2023,5,2,1B,ทวีปยุโรป,178065460.0,5684188.0
2023-05,2023,5,2,1C,ทวีปอเมริกาเหนือ,133260368.0,3256801.0
2023-05,2023,5,2,1E,ทวีปแอฟริกา,97182832.0,3006985.0
2023-05,2023,5,2,1F,ทวีปออสเตรเลีย,20102871.0,673326.0
2023-05,2023,5,2,1D,ทวีปอเมริกาใต้,1496358.0,44328.0
2023-06,2023,6,2,1A,ทวีปเอเชีย,1963896365.0,69679638.0
2023-06,2023,6,2,1C,ทวีปอเมริกาเหนือ,152925256.0,3610815.0
2023-06,2023,6,2,1B,ทวีปยุโรป,182784897.0,5982132.0
2023-06,2023,6,2,1E,ทวีปแอฟริกา,99203117.0,3070442.0
2023-06,2023,6,2,1F,ทวีปออสเตรเลีย,23879321.0,735285.0
2023-06,2023,6,2,1D,ทวีปอเมริกาใต้,2348172.0,71104.0
2023-07,2023,7,3,1A,ทวีปเอเชีย,2026260901.0,62419368.0
2023-07,2023,7,3,1C,ทวีปอเมริกาเหนือ,165918749.0,3781549.0
2023-07,2023,7,3,1B,ทวีปยุโรป,202004384.0,6478154.0
2023-07,2023,7,3,1E,ทวีปแอฟริกา,107847925.0,3307515.0
2023-07,2023,7,3,1F,ทวีปออสเตรเลีย,15584920.0,409760.0
2023-07,2023,7,3,1D,ทวีปอเมริกาใต้,4165561.0,134949.0
2023-08,2023,8,3,1A,ทวีปเอเชีย,1776921302.0,51414083.0
2023-08,2023,8,3,1C,ทวีปอเมริกาเหนือ,161349795.0,4225484.0
2023-08,2023,8,3,1B,ทวีปยุโรป,226076857.0,7237651.0
2023-08,2023,8,3,1E,ทวีปแอฟริกา,64992540.0,2002564.0
2023-08,2023,8,3,1F,ทวีปออสเตรเลีย,29512301.0,854112.0
2023-08,2023,8,3,1D,ทวีปอเมริกาใต้,2074740.0,95770.0
2023-09,2023,9,3,1A,ทวีปเอเชีย,1776449919.0,49539083.0
2023-09,2023,9,3,1C,ทวีปอเมริกาเหนือ,125694428.0,3522736.0
2023-09,2023,9,3,1B,ทวีปยุโรป,192081957.0,6306397.0
2023-09,2023,9,3,1E,ทวีปแอฟริกา,66351565.0,1978847.0
2023-09,2023,9,3,1F,ทวีปออสเตรเลีย,25031807.0,743079.0
2023-09,2023,9,3,1D,ทวีปอเมริกาใต้,5428635.0,167005.0
2023-10,2023,10,4,1A,ทวีปเอเชีย,1809502395.0,50665881.0
